Round64,Round32,Round16,Round8,Round4,Round2,Round1
W01,W01,W08,W04,W07,X01,X01
W16,W08,W04,W07,X01,Z01,
W08,W05,W03,X01,Y01,,
W09 ,W04,W07,X02,Z01,,
W05,W11,X01,Y01,,,
W12,W03,X05,Y03,,,
W04,W07,X11,Z01,,,
W13,W02,X02,Z02,,,
W06,X01,Y01,,,,
W11,X08,Y05,,,,
W03,X05,Y03,,,,
W14,X04,Y07,,,,
W07 ,X11,Z01,,,,
W10,X14,Z04,,,,
W02,X07,Z06,,,,
W15,X02,Z02,,,,
X01,Y01,,,,,
X16,Y08,,,,,
X08,Y05,,,,,
X09 ,Y04,,,,,
X05,Y06,,,,,
X12,Y03,,,,,
X04,Y07,,,,,
X13,Y02,,,,,
X06,Z01,,,,,
X11,Z08 ,,,,,
X03,Z05,,,,,
X14,Z04,,,,,
X07 ,Z06,,,,,
X10,Z14,,,,,
X02,Z10,,,,,
X15,Z02,,,,,
Y01,,,,,,
Y16,,,,,,
Y08,,,,,,
Y09 ,,,,,,
Y05,,,,,,
Y12,,,,,,
Y04,,,,,,
Y13,,,,,,
Y06,,,,,,
Y11,,,,,,
Y03,,,,,,
Y14,,,,,,
Y07 ,,,,,,
Y10,,,,,,
Y02,,,,,,
Y15,,,,,,
Z01,,,,,,
Z16,,,,,,
Z08,,,,,,
Z09 ,,,,,,
Z05,,,,,,
Z12,,,,,,
Z04,,,,,,
Z13,,,,,,
Z06,,,,,,
Z11,,,,,,
Z03,,,,,,
Z14,,,,,,
Z07 ,,,,,,
Z10,,,,,,
Z02,,,,,,
Z15,,,,,,
